siren,nom_pappers,classification_finale,source_classification,objet_social,code_naf,libelle_naf,forme_juridique,adresse_ligne_1,code_postal,ville,latitude,longitude,enseigne,nom_commercial,date_creation,entreprise_cessee,date_cessation,nb_etablissements_actifs,nb_etablissements_total,procedure_collective_en_cours,derniere_procedure_type,siret_siege,has_panel_data,flag_multi_etabs
851425827,G M LAVERIE,LS_INITIAL,A1_pure_or_probable,Laverie libre service.,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",111 B BOULEVARD SAINT-DENIS,92400,COURBEVOIE,48.89822399980185,2.26412500000305,,,2019-06-17,False,,3,3,False,,85142582700017,1,1
790116032,LAVERIE MJ,LS_INITIAL,A1_pure_or_probable,Laverie automatique en libre service.,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",5 RUE HEGESIPPE MOREAU,75018,PARIS,48.88694199980184,2.327396000002786,,,2012-11-28,False,,2,2,False,,79011603200018,1,1
803883990,HBJJ,LS_INITIAL,A1_pure_or_probable,Laverie libre service,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",1 AVENUE GUSTAVE STRESEMANN,92150,SURESNES,48.86328199980182,2.2045770000032947,,,2014-07-21,False,,1,1,False,,80388399000019,1,0
308240308,PRIBA SARL,LS_INITIAL,A1_pure_or_probable,"L'acquisition, la création, l'exploitation, la prise en location de tous fonds de commerce de laverie en libre-service et de nettoyage à sec en libre-service, ainsi que tous fonds de commerce similaires ou analogues.",96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",216 RUE SAINT-JACQUES,75005,PARIS,48.84516699980183,2.342401000002723,,,1956-01-01,False,,1,3,False,,30824030800020,1,0
529440372,LAVOTRONIC ,LS_INITIAL,A1_pure_or_probable,Laverie automatique,96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",34 RUE LA CONDAMINE,75017,PARIS,48.88682599980182,2.322794000002806,,LAVOTRONIC,2010-12-20,False,,18,19,False,,52944037200017,1,1
841717416,SS SWHAT SERVICE,LS_INITIAL,A1_pure_or_probable,"laverie automatique, pressing, blanchisserie de détail et dépôt pressing.",96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",26 RUE DES BOURGUIGNONS,92600,ASNIERES-SUR-SEINE,48.91216499980184,2.272360000003016,,,2018-09-01,False,,1,1,False,,84171741600017,1,0
383474947,DELROCHE,LS_INITIAL,A1_pure_or_probable,LAVERIE AUTOMATIQUE,96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",9 RUE DES BELLES FEUILLES,75016,PARIS,48.86610999980184,2.282630000002972,,,1991-11-01,False,,1,2,False,,38347494700025,1,0
844765032,BUBBLE WASH,LS_INITIAL,A1_pure_or_probable,Laverie automatique,96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",1 PLACE EMILE LANDRIN,75020,PARIS,48.863898999801826,2.400370000002483,,,2018-12-06,False,,1,1,False,,84476503200017,1,0
410726376,LA LAVERIE DA LA BOURSE,LS_INITIAL,A1_pure_or_probable,Exploitation d'une laverie automatique vente en ambulant de tous produits non réglementés,96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",2 RUE PAUL VAILLANT COUTURIER,92230,GENNEVILLIERS,48.916430999801804,2.2988560000029072,,,1997-02-01,False,,1,1,False,,41072637600016,1,0
352020838,LAVERIE TELEGRAPHE,LS_INITIAL,A1_pure_or_probable,"LAVERIE, LIBRE SERVICE, PRESSING",96.01B,Blanchisserie-teinturerie de détail,"EURL, entreprise unipersonnelle à responsabilité limitée",255 RUE DE BELLEVILLE,75019,PARIS,48.87555999980183,2.3983210000024924,,LAVERIE TELEGRAPHE,1989-09-01,False,,2,2,False,,35202083800012,1,1
913036976,LAVE'UB,LS_INITIAL,A1_pure_or_probable,Laveries automatiques et services à la personne,96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",3 RUE JEAN JAURES,91370,VERRIERES-LE-BUISSON,48.747687999801855,2.2619060000030506,,,2022-04-25,False,,2,2,False,,91303697600011,1,1
408270320,LAVERIE D'AUTEUIL,LS_INITIAL,A1_pure_or_probable,EXPLOITATION DE LAVERIE AUTOMATIQUE ET TOUS COMMERCES SIMILAIRESOU COMPLEMENTAIRES - LE NEGOCE DES MATERIELS MACHINES EQUIPEMENTS ACCESSOIRES FOURNITURES ET MARCHANDISES UTILISES OU VENDUS DANS CES MEMES PROFESSIONS,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",7 B RUE GERICAULT,75016,PARIS,48.84834199980183,2.262327000003055,,,1996-07-01,False,,1,1,False,,40827032000018,1,0
418915872,SARL CMP,LS_INITIAL,A1_pure_or_probable,Blanchisserie-teinturerie de détail,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",122 BOULEVARD DU GENERAL LECLERC,92110,CLICHY,48.90951899980186,2.306963000002873,,,1998-04-08,False,,1,1,False,,41891587200018,1,0
784611915,LE LIBRE SERVICE SOFIA,LS_INITIAL,A1_pure_or_probable,LAVERIE AUTOMATIQUE,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",1 B RUE BROWN-SEQUARD,75015,PARIS,48.84190899980185,2.3151730000028348,LIBRE SERVICE SOFIA,,1968-10-24,False,,4,5,False,,78461191500017,1,1
789142874,SEKMET,LS_INITIAL,A1_pure_or_probable,Laverie automatique libre service,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",3 RUE BAUDIN,92300,LEVALLOIS-PERRET,48.89505599980184,2.2783070000029904,WASH'N DRY,,2012-11-05,False,,1,2,False,,78914287400021,1,0
662026368,SOC LIBRE SERVICE RELAX     76,LS_INITIAL,A1_pure_or_probable,"Laverie automatique et nettoyage à sec, tous deux en libre service, lavage, blanchissage, pressing et teinturerie, repassage, et retouches.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",61 RUE CARNOT,92100,BOULOGNE-BILLANCOURT,48.833843999801864,2.2377930000031543,,,1900-01-01,False,,1,1,False,,66202636800016,1,0
523647410,SARL NAFICA,LS_INITIAL,A1_pure_or_probable,Laverie automatique,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",4 RUE PHILIBERT LUCOT,75013,PARIS,48.82251099980183,2.36215200000264,,,2010-07-08,False,,1,2,False,,52364741000027,1,0
411178072,R M  LAVAGE,LS_INITIAL,A1_pure_or_probable,LAVERIE AUTOMATIQUE,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",4 RUE BASTE,75019,PARIS,48.88117599980185,2.374214000002593,,R M LAVAGE,1997-03-01,False,,2,2,False,,41117807200012,1,1
512993783,LAVERIE DE L'ILE,LS_INITIAL,A1_pure_or_probable,Laverie automatique,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",15 BOULEVARD DU GENERAL LECLERC,92000,NANTERRE,48.89865099980184,2.1924700000033472,,,2009-03-01,False,,0,1,False,,51299378300012,1,0
