siren,nom,enseigne,nom_commercial,classification,adresse,code_postal,ville,latitude,longitude,date_creation,nb_annees_bilans,annee_derniere,ca_dernier,ca_avg_5y,ca_avg_total,ca_min,ca_max,ca_delta_yoy_pct,res_dernier,res_avg,ebe_dernier,ebe_avg,marge_nette_avg,dette_financiere_dernier,tresorerie_dernier,procedure_collective
530327063,VDLJ,,,LS_INITIAL,80 RUE DE GERGOVIE,75014,PARIS,48.831844999801845,2.317629000002825,2011-02-01,8,2023,75687.0,63936,70241,50839,82877,13.6,3018,255,13325,13326,-0.1,7376.0,6317.0,False
514335546,SARL B.S,WASH N' DRY,,LS_INITIAL,3 RUE DE BRETAGNE,92140,CLAMART,48.78347799980187,2.2438460000031264,2009-09-01,9,2023,39242.0,29778,29638,21589,39242,15.5,-2097,-3120,-844,338,-11.4,,10057.0,False
422883389,LAVERIE ORNANO,,,LS_INITIAL,67 BOULEVARD ORNANO,75018,PARIS,48.89665699980181,2.3452000000027136,1998-11-04,2,2017,33130.0,32880,32880,32630,33130,1.5,1100,1544,2250,3088,4.7,985.0,483.0,False
801819657,WASH HOUDRY,WASH AND DRY,,LS_INITIAL,16 RUE PERDONNET,75010,PARIS,48.88346899980183,2.3604090000026505,2014-05-01,4,2019,37713.0,36660,36660,35405,37713,6.5,223,-487,-300,-75,0.6,20.0,3498.0,False
353562838,JCPF,,J.C.P.F.,LS_INITIAL,10 RUE DE JOUY,75004,PARIS,48.854917999801835,2.3582810000026577,1990-02-15,11,2024,47211.0,45893,38841,27056,49737,0.0,9122,4101,13124,8069,5.9,,,False
844586909,LAV MJL,,,LS_INITIAL,63 RUE DES BATIGNOLLES,75017,PARIS,48.88621899980184,2.318670000002823,2018-12-12,5,2024,96892.0,70729,70729,48107,96892,11.2,31263,7755,36882,9277,6.3,49900.0,62831.0,False
831080429,AU PETIT LAVOIR,,,LS_INITIAL,14 RUE DE MONTYON,75009,PARIS,48.873154999801834,2.3439230000027185,2017-07-18,6,2022,175099.0,140570,122034,29351,175099,34.5,-2682,2869,8044,6310,8.7,161447.0,9648.0,True
838759389,CSR,,AU FIL DE L'EAU,LS_INITIAL,75 RUE DE BELLEVUE,92100,BOULOGNE-BILLANCOURT,48.83520199980187,2.2308660000031835,2018-04-01,5,2024,46241.0,29353,29353,19386,46241,53.7,9417,3399,14515,5735,13.5,11768.0,4272.0,False
835263112,LAVERIE O'CLEAN,,,LS_INITIAL,132 RUE DU CHEMIN VERT,75011,PARIS,48.86220099980183,2.385081000002547,2018-01-02,5,2022,16658.0,16377,16377,13042,20517,27.7,133,570,1716,536,0.2,,6554.0,False
408418093,POINT LAVERIE SERVICE,,,LS_INITIAL,80 RUE MARGUERITE DE ROCHECHOUART,75009,PARIS,48.88226799980184,2.3467860000027057,1996-07-07,5,2024,34017.0,35515,35515,31567,38240,-6.5,-7907,-5846,-7495,-5406,-17.4,2478.0,7982.0,False
383613072,A.L.P.A,,,LS_INITIAL,176 BOULEVARD CHARLES DE GAULLE,92700,COLOMBES,48.916316999801815,2.226977000003205,1991-10-31,4,2023,33002.0,34107,34107,30457,37360,-7.3,-340,1155,1566,2240,3.9,5461.0,6607.0,False
839264587,G.F.J. CLEAN,,G.F.J. CLEAN,LS_INITIAL,32 RUE FRANKLIN,92400,COURBEVOIE,48.90231299980181,2.267675000003036,2018-04-01,2,2020,67254.0,69712,69712,67254,72171,-6.8,26326,23055,16775,8388,39.1,,34596.0,False
834318628,LAVERIE DU POTEAU,,,LS_INITIAL,77 RUE DU POTEAU,75018,PARIS,48.89616799980182,2.33898000000274,2017-12-28,1,2018,23755.0,23755,23755,23755,23755,,4321,4321,6084,6084,18.2,,4973.0,False
519414205,MULTI-SERVICE-LAVERIE,LAVERIE LIBRE SERVICE,,LS_INITIAL,24 PLACE LOUIS ARAGON,92700,COLOMBES,48.91522299980181,2.228832000003198,2010-01-01,2,2015,110277.0,103924,103924,97571,110277,13.0,14570,9588,27012,23217,8.9,5043.0,51196.0,False
800088544,LAVERIE CLAVIJO LIBRE SERVICE,,,LS_INITIAL,2 AVENUE DESFEUX,92100,BOULOGNE-BILLANCOURT,48.83202199980184,2.2419870000031383,2014-01-26,8,2024,54125.0,42146,42372,31767,54125,5.9,2548,2957,4775,5295,6.4,24845.0,4059.0,False
819827049,XU,,,LS_INITIAL,17 RUE DES FETES,75019,PARIS,48.87645499980183,2.3922010000025176,2016-04-19,8,2024,76505.0,60031,63128,39777,76505,0.8,-4623,-5200,-4973,-3339,-16.5,,8530.0,False
542017843,LAVERIE AUTOMATIQUE DE SAINT-OUEN,,ABBESS PRESSING,LS_INITIAL,39 RUE DES ABBESSES,75018,PARIS,48.88510999980185,2.3366660000027495,1954-01-01,3,2022,259986.0,208349,208349,168425,259986,32.2,22414,-2368,25824,6456,8.6,47225.0,115706.0,False
440930345,LAVERIE LAUMIERE,,,LS_INITIAL,6 RUE PIERRE GIRARD,75019,PARIS,48.88580599980183,2.3798730000025694,2002-01-16,5,2024,22519.0,22672,22672,11948,32320,9.6,3340,1929,4392,2328,-4.6,,6300.0,False
882417769,ENEO LAVERIE,,,LS_INITIAL,19 RUE EUGENIE EBOUE,92600,ASNIERES-SUR-SEINE,48.91833898132262,2.3172300604147518,2020-03-06,4,2024,127339.0,82045,82045,42355,127339,39.1,31658,14526,37924,27123,16.1,21259.0,12653.0,False
749905097,LAV'NADHIF,,,LS_INITIAL,73 RUE DE LA REPUBLIQUE,92800,PUTEAUX,48.88603399980184,2.2434210000031354,2012-02-28,4,2018,18694.0,29192,29192,18694,34516,-45.8,14251,2674,-1249,2315,15.8,0.0,98.0,False
483512414,LAV'TOUT BLANC,,,LS_INITIAL,110 BOULEVARD DU MARECHAL JOFFRE,92340,BOURG-LA-REINE,48.77740599980186,2.313417000002839,2005-08-01,9,2024,78651.0,63806,61113,53496,78651,3.7,3667,5136,14866,3066,6.5,65885.0,3890.0,False
821614450,LAVERIE SAINT PETERSBOURG,,,LS_INITIAL,27 RUE DE SAINT-PETERSBOURG,75008,PARIS,48.881898999801834,2.3255940000027944,2016-04-01,6,2021,27012.0,30459,28603,19322,34468,-13.0,-3388,79,-2603,1758,-0.3,7946.0,90.0,False
331928713,SSM SOC SERVICES DU MONT,,LE BATEAU LAVOIR,LS_INITIAL,1 RUE THOUIN,75005,PARIS,48.84504899980184,2.349588000002693,1985-03-01,6,2022,32478.0,30687,30710,22834,35587,5.7,2342,2309,2343,2806,6.3,45371.0,11719.0,False
441498581,J & H SERVICES,,,LS_INITIAL,19 RUE DE CONSTANTINOPLE,75008,PARIS,48.88001999980183,2.320015000002817,2002-04-02,1,2023,72003.0,72003,72003,72003,72003,,25546,12773,31133,15566,35.5,,33449.0,False
801869488,DAMARO SELF SERVICES,,,LS_INITIAL,2 RUE GERVEX,75017,PARIS,48.888330999801845,2.298432000002907,2014-04-20,10,2024,30910.0,22014,19740,6357,39402,-21.6,-16029,3442,-6032,-233,-26.4,0.0,390.0,False
827514993,PARIS LAVAGE ENTREPRISE,,,LS_INITIAL,35 RUE DES CAILLOUX,92110,CLICHY,48.897008999801834,2.3071670000028712,2017-01-21,3,2021,41270.0,37584,37584,30180,41302,36.7,20706,6353,21386,12216,15.7,,2986.0,False
833739006,LAVERIE ALLES,,,LS_INITIAL,20 RUE DE L'INSPECTEUR ALLES,75019,PARIS,48.87958699980182,2.3983610000024935,2017-11-27,1,2018,20638.0,20638,20638,20638,20638,,4900,4900,6681,6681,23.7,,5048.0,False
415190214,SOKLEEN,,SOKLEEN,LS_INITIAL,47 RUE DE TOURTILLE,75020,PARIS,48.87244299980184,2.380108000002568,1998-02-02,6,2021,58374.0,57877,57565,52769,60498,10.6,-1587,1059,8636,7831,7.4,,11052.0,False
845236868,LAVERIES SPEED WASH,,,LS_INITIAL,60 AVENUE DE LA REPUBLIQUE,92400,COURBEVOIE,48.90145899980185,2.251284000003103,2018-12-05,2,2020,18160.0,15649,15649,13138,18160,38.2,839,-808,10959,5480,4.6,49330.0,13163.0,False
851029066,CHELLES LAVERIE,,,LS_INITIAL,9 RUE AUGUSTE MEUNIER,77500,CHELLES,48.872601999801816,2.5897870000017003,2019-05-21,4,2023,47298.0,30996,30996,4212,47298,3.0,-16453,-1096,-3605,-16917,-192.8,,,False
513488700,LAVERIE DU CENTRE,,,LS_INITIAL,225 BOULEVARD GALLIENI,92390,VILLENEUVE-LA-GARENNE,48.93502599980182,2.332642000002767,2009-07-15,6,2021,32260.0,37861,38260,29223,45641,10.4,1003,3116,1004,999,5.0,,11801.0,False
384589628,ORGANIS,,,LS_INITIAL,89 RUE DE TOLBIAC,75013,PARIS,48.82699299980185,2.3670370000026186,1992-02-19,1,2015,86745.0,86745,86745,86745,86745,,20628,10314,25697,12848,23.8,3929.0,158315.0,False
524200425,LM LAVAGE,,,LS_INITIAL,6 RUE CHAUDRON,75010,PARIS,48.88283599980182,2.3664930000026256,2010-08-01,9,2024,36720.0,34232,34031,32020,36905,-0.5,4485,-110,-5833,-11,-2.2,,,False
