siren,nom_entreprise,chiffre_affaires,resultat,annee_finances,entreprise_cessee,classification,matched_google_lavoir,classification_v2
482706850,SOPRE LAURE,251898,10634.0,2022,0,AMBIGU,False,AMBIGU
483359030,LE FER A LA MAIN,8433,-4413.0,2023,0,AMBIGU,True,LS_PROBABLE
519399653,COLPORTEUR BOUTIQUE,242069,-101802.0,2016,0,AMBIGU,False,AMBIGU
343569125,BRIGHT,112962,-8728.0,2021,0,AMBIGU,False,AMBIGU
852299148,CLEMMA,106190,13297.0,2023,0,AMBIGU,False,AMBIGU
411496631,PRESTO SERVICE,198739,-76020.0,2020,0,AMBIGU,False,AMBIGU
414759100,CLISSON LAVA,127279,9154.0,2021,0,AMBIGU,True,LS_PROBABLE
377823844,NMJP,332545,153437.0,2024,0,AMBIGU,True,LS_PROBABLE
901718148,LAVOMATTIC,28523,5259.0,2024,0,AMBIGU,False,AMBIGU
572223881,SOC INDUST BLANCHISS TEINTUR 0,286265,838.0,2024,0,PRESSING,False,PRESSING
325844686,T PRESS,109019,-1072.0,2018,0,PRESSING,False,PRESSING
444640288,NEW PRESSING,81265,-2140.0,2023,0,PRESSING,False,PRESSING
953781374,PRESSING HMC,348212,662.0,2024,0,PRESSING,False,PRESSING
830542106,PARIS PRESSING 11,39441,385.0,2022,0,PRESSING,False,PRESSING
803129246,SILVA,166703,3061.0,2017,0,AMBIGU,False,AMBIGU
851425827,G M LAVERIE,64674,3069.0,2023,0,LS_PURE,False,LS_PURE
813757887,LAETITIA PRESSING,146047,-4432.0,2023,0,PRESSING,False,PRESSING
753854249,VOTRE VOISIN,33787,-6227.0,2021,0,AMBIGU,False,AMBIGU
485325823,PRESSING SAINT LOUIS,113805,36255.0,2023,0,PRESSING,False,PRESSING
790116032,LAVERIE MJ,72875,2496.0,2017,0,LS_PURE,True,LS_PURE
504807124,HAS,231584,-25.0,2024,0,AMBIGU,False,AMBIGU
881351779,AC AQUA CLEAN,7532,-118226.0,2024,0,AMBIGU,False,AMBIGU
801528225,QUATORZE40,485932,78723.0,2023,0,AMBIGU,False,AMBIGU
803883990,HBJJ,56611,8056.0,2021,0,AMBIGU,True,LS_PROBABLE
830390019,ENSEL,175099,6187.0,2024,0,AMBIGU,False,AMBIGU
308240308,PRIBA SARL,97282,4775.0,2022,0,AMBIGU,True,LS_PROBABLE
533164844,N & A,29134,-3226.0,2022,0,AMBIGU,False,AMBIGU
452545734,CLEAN PRESSING,85719,14451.0,2024,0,PRESSING,False,PRESSING
841180698,JSM PRESS,53138,1645.0,2018,0,PRESSING,False,PRESSING
538678871,SARL NATHAN,113651,553.0,2023,0,AMBIGU,False,AMBIGU
809129620,W&P,76203,-6068.0,2020,0,AMBIGU,False,AMBIGU
834043069,SPONTINI SERVICES,110846,5974.0,2021,0,AMBIGU,False,AMBIGU
532222262,DDH,144204,40925.0,2019,0,AMBIGU,False,AMBIGU
483707246,PRESSING LE ROCHECHOUART,141749,-7709.0,2022,0,PRESSING,False,PRESSING
572203628,SAPAM APPLICATION PROCEDE AUTOMATIQ,100748,7429.0,2024,0,AMBIGU,False,AMBIGU
529440372,LAVOTRONIC,84578,4358.0,2016,0,AMBIGU,True,LS_PROBABLE
820753721,XING LONG PRESSING,104059,5152.0,2019,0,PRESSING,False,PRESSING
479203820,SOCIETE ANNA,74892,13702.0,2022,0,AMBIGU,False,AMBIGU
841717416,SS SWHAT SERVICE,2070,31489.0,2023,0,AMBIGU,True,LS_PROBABLE
824268841,THOLEA,160262,17923.0,2024,0,AMBIGU,False,AMBIGU
404167439,MONISOK,32511,3341.0,2021,0,AMBIGU,False,AMBIGU
383474947,DELROCHE,93282,6137.0,2015,0,AMBIGU,True,LS_PROBABLE
844765032,BUBBLE WASH,34096,20723.0,2022,0,LS_PURE,False,LS_PURE
424005866,MAKHA,64860,-5610.0,2021,0,AMBIGU,False,AMBIGU
572031417,DETACHENET,25733,8061.0,2019,0,AMBIGU,False,AMBIGU
533524641,LE MIMOSA,79304,3623.0,2024,0,AMBIGU,False,AMBIGU
410726376,LA LAVERIE DA LA BOURSE,23096,-3569.0,2023,0,LS_PURE,False,LS_PURE
539575258,BLANCHINET,9000,4239.0,2022,0,AMBIGU,False,AMBIGU
352020838,LAVERIE TELEGRAPHE,69245,-5176.0,2021,0,LS_PURE,True,LS_PURE
498053560,KEN,158964,35161.0,2021,0,AMBIGU,False,AMBIGU
513281386,NET EKOLLO SERVICES SARL,151980,-5950.0,2024,0,PRESSING,False,PRESSING
751154196,N.V.P,65206,-2553.0,2017,0,AMBIGU,False,AMBIGU
913036976,LAVE'UB,74179,-66811.0,2023,0,AMBIGU,True,LS_PROBABLE
810113936,CIEL PRESSING,191345,47893.0,2024,0,PRESSING,False,PRESSING
798937512,L'O CLAIRE,73274,6431.0,2019,0,AMBIGU,False,AMBIGU
408270320,LAVERIE D'AUTEUIL,81527,10790.0,2025,0,LS_PURE,True,LS_PURE
820375517,RAHMA PRESSING,55588,5696.0,2024,0,PRESSING,False,PRESSING
352256374,CTI FLASH LIGHT,178590,14451.0,2022,0,AMBIGU,False,AMBIGU
418915872,SARL CMP,28140,837.0,2022,0,AMBIGU,True,LS_PROBABLE
450222450,AJBM ALAZARD,240832,10676.0,2019,0,AMBIGU,False,AMBIGU
784611915,LE LIBRE SERVICE SOFIA,153537,7048.0,2022,0,LS_PURE,True,LS_PURE
830417309,A R RETOUCHERIE ET PRESSING,43059,-1269.0,2021,0,PRESSING,False,PRESSING
883164576,SDK PRESSING,77585,-2979.0,2024,0,PRESSING,False,PRESSING
403674666,K 2 M,32929,-1135.0,2020,0,AMBIGU,False,AMBIGU
793855388,BLACK WHITE,30245,843.0,2017,0,AMBIGU,False,AMBIGU
789142874,SEKMET,44101,347.0,2024,0,AMBIGU,True,LS_PROBABLE
662026368,SOC LIBRE SERVICE RELAX 76,85389,1116.0,2016,0,LS_PURE,False,LS_PURE
523647410,SARL NAFICA,44985,3933.0,2021,0,AMBIGU,True,LS_PROBABLE
411178072,R M LAVAGE,121939,2749.0,2017,0,LS_PURE,True,LS_PURE
512993783,LAVERIE DE L'ILE,27487,-825.0,2016,0,LS_PURE,False,LS_PURE
881012264,CLICHY PRESSING,80446,7347.0,2024,0,PRESSING,False,PRESSING
795340884,CHAHOUD PRESSING,84395,675.0,2022,0,PRESSING,False,PRESSING
481069672,AYER,70198,3368.0,2023,0,AMBIGU,False,AMBIGU
384683256,SARL BICHAT,19201,3761.0,2019,0,AMBIGU,False,AMBIGU
504568346,LOCLA,79316,4629.0,2015,0,AMBIGU,True,LS_PROBABLE
323903930,SELNAS,378034,105469.0,2024,0,AMBIGU,True,LS_PROBABLE
497727255,LYSMUS,107203,3618.0,2018,0,AMBIGU,False,AMBIGU
523608271,SARL NATALIA,54323,-1490.0,2024,0,AMBIGU,False,AMBIGU
521028647,PRESSING F.S,49628,5131.0,2022,0,PRESSING,False,PRESSING
530299486,PRESSING 115,146931,11726.0,2023,0,PRESSING,False,PRESSING
341279065,HA LAVAGE,100070,16290.0,2024,0,LS_PURE,True,LS_PURE
847839867,MONA PRESSING,40637,3378.0,2024,0,PRESSING,False,PRESSING
417896404,PB INVEST,260931,18197.0,2024,0,AMBIGU,False,AMBIGU
329416234,MULTISER LAFENESTRE,49877,4452.0,2015,0,AMBIGU,False,AMBIGU
749886271,Z & N PRESSING,153437,16394.0,2017,0,PRESSING,False,PRESSING
394896906,LAVERIE PRESSING DU 18 JUIN,53638,-2445.0,2022,0,LS_MIXTE,False,LS_MIXTE
428687941,CL LAVERIE LIBRE SERVICE,49473,13556.0,2024,0,LS_PURE,False,LS_PURE
898532429,PRESSING TAMAN,230062,11506.0,2024,0,PRESSING,False,PRESSING
815347307,GW2,148040,5464.0,2019,0,AMBIGU,False,AMBIGU
442069720,MAUBEUGE PRESS,200098,48822.0,2023,0,PRESSING,False,PRESSING
530327063,VDLJ,75687,3018.0,2023,0,AMBIGU,True,LS_PROBABLE
789507431,E.U.R.L PRESSING DE NATALYA,44728,-14809.0,2018,0,PRESSING,False,PRESSING
514335546,SARL B.S,39242,-2097.0,2023,0,AMBIGU,True,LS_PROBABLE
523556587,GREENPRESS,429353,-17262.0,2019,0,PRESSING,True,PRESSING
