siren,nom,annee,chiffre_affaires,resultat,marge_brute,excedent_brut_exploitation,resultat_exploitation,marge_nette,taux_marge_EBITDA,taux_marge_operationnelle,dettes_financieres,tresorerie,capacite_autofinancement,valeur_ajoutee,salaires_charges_sociales,BFR,ratio_endettement,autonomie_financiere,rentabilite_economique,rentabilite_fonds_propres,effectif
381308055,VARME,2022,76276,-315,76276,3105,-1895,-0.4,4.1,-2.5,25506,1410,4685,5876,,-19060,1.2,25.4,-0.4,-1.6,
381308055,VARME,2021,69273,3130,66695,5772,772,4.5,8.3,1.1,27344,724,8130,6866,,-15661,1.3,30.9,4.7,15.4,
381308055,VARME,2020,56805,6657,56423,2482,-2574,11.7,4.4,-4.5,32276,3201,11713,4083,,-16004,1.7,25.4,9.8,38.6,
381308055,VARME,2019,65132,-3275,64682,-3155,-3155,-5,-4.8,-4.8,37392,700,-3275,9197,9054,-20101,3.5,15.4,-4.8,-30.9,
381308055,VARME,2018,63785,463,63785,-3312,-3312,0.7,-5.2,-5.2,37392,12115,463,-726,2586,-28240,1.8,16.8,0.6,3.3,
381308055,VARME,2017,0,,,,,,,,,,,,,,,,,,
381308055,VARME,2016,0,,,,,,,,,,,,,,,,,,
381308055,VARME,2015,0,,,,,,,,,,,,,,,,,,
381308055,VARME,2014,0,,,,,,,,,,,,,,,,,,
381308055,VARME,2013,0,,,,,,,,,,,,,,,,,,
381308055,VARME,2012,0,,,,,,,,,,,,,,,,,,
381308055,VARME,2011,0,,,,,,,,,,,,,,,,,,
481141711,LAMARI LAUNDROMAT,2021,23993,130,23993,350,130,0.5,1.5,0.5,14260,,350,3903,4240,-794,-1,-214.7,2,-0.9,
481141711,LAMARI LAUNDROMAT,2020,18630,-4487,18633,-3988,-4487,-24.1,-21.4,-24.1,13643,,-3988,-1729,4277,-1763,-1,-589.1,-185.5,31.5,
481141711,LAMARI LAUNDROMAT,2019,25256,-1817,25251,-172,-1817,-7.2,-0.7,-7.2,0,613,-172,6440,5650,-12031,0.1,-288,-53.6,18.6,
481141711,LAMARI LAUNDROMAT,2018,22324,-5893,24049,-3397,-5890,-26.4,-15.2,-26.4,612,0,-3400,1671,5804,-10634,-0.1,-108.9,-80.8,74.2,
481141711,LAMARI LAUNDROMAT,2017,22051,-3205,6772,-378,-3205,-14.5,-1.7,-14.5,0,206,-378,6772,6175,-7195,0.1,-24.7,-38.6,156.1,
481141711,LAMARI LAUNDROMAT,2016,21596,-6819,22261,-3671,-6819,-31.6,-17,-31.6,5283,0,-3102,5881,8616,-1326,4.6,12.4,-73.3,-591.9,
481141711,LAMARI LAUNDROMAT,2015,20273,-2430,19429,1547,-2430,-12,7.6,-12,411,,1546,8184,5659,-3095,0.1,66.2,-20.2,-30.5,
483512414,LAV'TOUT BLANC,2024,78651,3667,77391,14866,3326,4.7,18.9,4.2,65885,3890,15207,30479,14451,-14971,2.2,24.4,3.1,12.8,1
483512414,LAV'TOUT BLANC,2023,75823,678,0,0,0,,,,0,0,0,0,0,0,,,,,1
483512414,LAV'TOUT BLANC,2022,57474,321,0,0,0,,,,0,0,0,0,0,0,,,,,1
483512414,LAV'TOUT BLANC,2021,53496,8379,0,0,0,,,,0,0,0,0,0,0,,,,,1
483512414,LAV'TOUT BLANC,2020,53587,8775,0,0,0,,,,0,0,0,0,0,0,,,,,1
483512414,LAV'TOUT BLANC,2019,61099,5498,0,0,0,,,,0,0,0,0,0,0,,,,,1
483512414,LAV'TOUT BLANC,2018,57771,3566,56786,9570,4370,6.2,16.6,7.6,62549,194,8766,28191,17709,-15565,46.4,1.6,4.2,265.3,1
