idx,gmaps_name,gmaps_lat,gmaps_lng,gmaps_addr,statut,n_candidats,siren_retenu,nom_retenu,adr_retenue,candidats_autres,flags
52,Pressing,48.8976378,2.30747,"1 Rue du Dr Emile Roux, 92110 Clichy, France",MATCHE_PROXIMITE,1,514814854,ALCIDE FRUITO,1 RUE DOC EMILE ROUX 92110,,NOUVEAU
53,Laverie Libre Service,48.8499271,2.3866058,"255 Rue du Faubourg Saint-Antoine, 75011 Paris, France",MATCHE_PROXIMITE,2,830542106,PARIS PRESSING 11,261 RUE FBG ST ANTOINE 75011,333276665:PHIKIEN COMPANY,MULTI_CANDIDAT; NOUVEAU
54,Laverie Libre-Service,48.8723787,2.3915434,"306 Rue des Pyrénées Bâtiment C - Appartement 62, 75020 Paris, France",NON_MATCHE,0,,,,,
55,Laverie Paris 19ème Porte Brunet - Libre service 7 / 7,48.8837361,2.3966405,"15 Av. de la Prte Brunet, 75019 Paris, France",MATCHE_EXACT,1,899225759,AMS PARIS 19,9 AV PORTE BRUNET 75019,,NOUVEAU
56,(Sans nom),48.916295,2.2988295,,MATCHE_PROXIMITE,1,410726376,LA LAVERIE DA LA BOURSE,2 RUE PAUL VAILLANT COUTURIER 92230,,NOUVEAU
57,Laverie Chandon,48.9241261,2.2952314,,MATCHE_EXACT,2,939413159,LAVERIE CHANDON,8 AV CHANDON 92230,752490458:TIMILT,MULTI_CANDIDAT; NOUVEAU
58,PRESSING,48.8391992,2.3608058,"48 Bd de l&#x27;Hôpital, 75013 Paris, France",NON_MATCHE,0,,,,,
59,Argonne,48.8941826,2.3821357,"28 Rue de l&#x27;Argonne, 75019 Paris, France",MATCHE_PROXIMITE,1,491988358,LAVERIE ARDJOUNE,28 RUE DE L'ARGONNE 75019,,DEJA_MATCHE_AILLEURS
60,Laverie,48.8644725,2.3469598,"75002 Paris, France",MATCHE_PROXIMITE,3,481141711,LAMARI LAUNDROMAT,27 RUE MONTORGUEIL 75001,301639951:ECLAT SOC EXPL COMM LAVE AUTO | 712012871:FABELOR SARL,MULTI_CANDIDAT; NOUVEAU
61,Pressing S.B.S Laverie,48.856944,2.2791497,"24 Rue de l&#x27;Annonciation, 75016 Paris, France",MATCHE_PROXIMITE,1,334402476,PHISER,24 RUE ANNONCIATION 75016,,DEJA_MATCHE_AILLEURS; MULTI_ETAB(x4)
62,Laverie libre,48.8792514,2.3496054,"16 Rue d&#x27;Abbeville, 75009 Paris, France",MATCHE_PROXIMITE,2,477639058,TRL,14 RUE D'ABBEVILLE 75010,752827618:TIDOU,MULTI_CANDIDAT; DEJA_MATCHE_AILLEURS
63,Laverie De La Galerie,48.8569021,2.4080835,"All. des Mauves, 75020 Paris, France",MATCHE_EXACT,2,527849038,LAVERIE DE LA GALERIE,41 RUE MOURAUD 75020,819705104:SP SOPHIE PRESSING,MULTI_CANDIDAT; NOUVEAU
