siren,nom_orig,nom_pappers,objet_social,code_naf,libelle_naf,forme_juridique,date_creation,entreprise_cessee,date_cessation,adresse_ligne_1,complement_adresse,code_postal,ville,latitude,longitude,enseigne,nom_commercial,siret_siege,nb_etablissements_actifs,nb_etablissements_total,procedure_collective_en_cours,derniere_procedure_type,classification_finale,source_classification
492523659,LA MARGUERITE D'ALFORTVILLE,LA MARGUERITE D'ALFORTVILLE,"Laverie libre service, repassage, retouche.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2006-10-21,False,,16 RUE CHARLES DE GAULLE,,94140,ALFORTVILLE,48.81445299980185,2.413664000002426,,,49252365900018,2,2,False,,LS_PURE_NEW,A4_reclass
853652535,ZBH EURL,ZBH EURL,Pressing- laverie- Multiservices- vente- retouches,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2019-09-01,False,,111 BOULEVARD SERURIER,RDC,75019,PARIS,48.880624999801825,2.3975160000024967,ZBH,SAB'S WASH & LAUNDRY,85365253500016,1,1,False,,MIXTE,A4_reclass
752490458,TIMILT,TIMILT,"Laverie,  blanchisserie,  pressing , nettoyage de vêtement , retouche , vente de Boutonnerie, Et accessoire de vêtements , confection.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2012-06-15,False,,8 AVENUE CHANDON,,92230,GENNEVILLIERS,48.92408799980183,2.295274000002923,,,75249045800011,1,1,False,,MIXTE,A4_reclass
828374280,SPRING XIA,SPRING XIA,"Laverie libre-service, retouches, repassage, service à la personne",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2017-03-14,False,,2 RUE GEORGE EASTMAN,,75013,PARIS,48.82937099980183,2.3597850000026495,LAVERIE LIBRE SERVICE,,82837428000018,1,1,False,,LS_PURE_NEW,A4_reclass
433681772,SORANA,SORANA,Blanchisserie-teinturerie de détail,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2000-11-09,False,,104 RUE SADI CARNOT,,92170,VANVES,48.82485999980184,2.2958130000029136,,,43368177200011,0,1,False,,PRESSING,A4_reclass
790247365,CENNET,CENNET,"Pressing, nettoyage à sec, laverie, blanchisserie, teinturerie, routche, achats, ventes, import export de produits non réglementés.",96.01B,Blanchisserie-teinturerie de détail,"EURL, entreprise unipersonnelle à responsabilité limitée",2013-01-02,False,,7 PROMENADE SAINT-LEUFROY,,92150,SURESNES,48.86860399980185,2.225381000003208,,,79024736500014,1,1,False,,MIXTE,A4_reclass
750452781,EVENTS 26,EVENTS 26,Activités des sièges sociaux,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2012-03-19,False,,34 RUE SAINT-FARGEAU,,75020,PARIS,48.871599999801816,2.4033990000024708,,,75045278100040,0,4,False,,AUTRE,A4_reclass
512821398,SALMA,SALMA,"Nettoyage à sec, blanchisserie, retoucherie, achat, vente et transformation de tous produits vestimentaires",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2009-05-13,False,,198 RUE LEGENDRE,,75017,PARIS,48.89238099980183,2.32676800000279,,PRESSING GUY MOQUET,51282139800017,0,1,False,,PRESSING,A4_reclass
448486472,ALPAGA,ALPAGA,"TEINTURERIE, BLANCHISSERIE",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2003-04-15,False,,28 RUE D'ARMAILLE,,75017,PARIS,48.87865899980184,2.2912950000029357,,,44848647200013,1,1,False,,PRESSING,A4_reclass
482706850,SOPRE LAURE,SOPRE LAURE,TEINTURERIE NETTOYAGE A SEC BLANCHISSERIE,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2005-05-19,False,,138 RUE MONTMARTRE,,75002,PARIS,48.868607999801846,2.343536000002719,,PRESSING DE LA BOURSE,48270685000013,1,1,False,,PRESSING,A4_reclass
519399653,COLPORTEUR BOUTIQUE,COLPORTEUR BOUTIQUE,"Blanchisserie, teinturerie, pressing, nettoyage, et repassage de tout textile ainsi que la commercialisation de tout article se rapportant à ces activités.",96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",2010-01-12,False,,4 RUE D'ESTIENNE D'ORVES,,92110,CLICHY,48.90565899980184,2.302303000002892,,,51939965300061,6,7,False,,PRESSING,A4_reclass
343569125,BRIGHT,BRIGHT,"Le commerce de nettoyage vêtements, peaux, fourrures, ameublement, tapis, rideaux, blanchisserie, teinturerie. Achat, vente de tous produits manufactures en textiles y compris pièces détachées, auto. Produits alimentaires. Produits industriels et leurs dérives, Import-Export.",96.01B,Blanchisserie-teinturerie de détail,"EURL, entreprise unipersonnelle à responsabilité limitée",1988-01-22,False,,35 RUE DU COLISEE,,75008,PARIS,48.87155199980183,2.310377000002857,,,34356912500028,1,2,False,,PRESSING,A4_reclass
852299148,CLEMMA,CLEMMA,Pressing.,96.01B,Blanchisserie-teinturerie de détail,"EURL, entreprise unipersonnelle à responsabilité limitée",2019-06-17,False,,295 BOULEVARD RASPAIL,,75014,PARIS,48.83517999980186,2.332423000002763,,,85229914800019,1,1,False,,PRESSING,A4_reclass
411496631,PRESTO SERVICE,PRESTO SERVICE,"LA CREATION, L'ACHAT ET L'EXPLOITATION, DE TOUS FONDS DE COMMER CE DE TEINTURERIE, PRESSING AUTOMATIQUE OU NON",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",1997-03-24,False,,12 RUE DE L'ARCADE,,75008,PARIS,48.871493999801835,2.3236380000028007,PRESTO SERVICE,PRESTO SERVICE,41149663100044,1,4,False,,PRESSING,A4_reclass
901718148,LAVOMATTIC,LAVOMATTIC,laverie automatique,96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",2021-06-11,False,,12 RUE DE LA STATION,MEUDON LA FORET,92360,MEUDON,48.78654399980186,2.227082000003197,,,90171814800017,1,1,False,,LS_PURE_NEW,A4_reclass
803129246,SILVA,SILVA,Pressing nettoyage a sec de vetements ou par machine a laver depot de linge repassage,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2014-06-26,False,,54 RUE D'EREVAN,CENTRE COMMERCIAL LES EPINETTES,92130,ISSY-LES-MOULINEAUX,48.817529999801835,2.2606350000030595,PRESSING PLUS,,80312924600010,2,2,False,,PRESSING,A4_reclass
753854249,VOTRE VOISIN,VOTRE VOISIN,"Pressing, teinturerie.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2012-09-13,False,,21 RUE MARX DORMOY,,75018,PARIS,48.88596299980184,2.3592700000026543,,,75385424900012,0,1,False,,PRESSING,A4_reclass
504807124,HAS,HAS,"Teinturerie, nettoyage, pressing, stopage, remaillage, location de matériel, nettoyage.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2008-06-01,False,,55 RUE DE BEZONS,,92400,COURBEVOIE,48.89639299980186,2.248501000003115,MILO PRESSING,,50480712400012,1,1,False,,PRESSING,A4_reclass
